Indicadores municipales de sostenibilidad: Superficie municipal de especial protección (% superficie total);;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;
20016;Aia;21,79;21,73;21,73;21,73;21,73;21,73;21,73;21,75;21,75;21,75;21,77;21,77;21,68;21,41;21,41;21,41;43,28
20003;Aizarnazabal;12,97;12,97;12,97;3,39;3,39;3,39;3,39;3,39;3,39;3,39;3,39;3,39;3,36;3,42;3,42;3,42;3,42
48911;Ajangiz;4,05;4,05;4,05;4,05;2,11;2,12;2,12;2,96;2,96;2,96;2,96;2,96;2,85;2,89;2,89;2,89;2,89
20004;Albiztur;39,35;39,35;39,35;39,35;39,35;39,35;34,27;34,33;34,99;34,99;35,04;35,04;33,89;34,42;35,16;35,16;34,16
20005;Alegia;11,43;11,43;36,68;36,68;36,68;36,68;37,07;37,07;37,07;37,17;36,98;36,98;37,40;36,92;36,87;36,87;36,87
01001;Alegría-Dulantzi;0,91;0,91;0,91;0,91;0,91;0,91;0,91;0,91;0,91;0,91;0,91;0,91;0,91;0,91;0,91;0,91;4,20
20006;Alkiza;41,30;41,30;41,30;41,30;41,30;41,30;40,84;41,33;41,33;41,97;42,87;42,80;43,29;43,29;43,29;43,29;82,25
48912;Alonsotegi;50,21;50,16;50,16;50,16;50,16;50,16;50,16;50,16;50,16;50,16;50,19;49,50;63,47;47,45;47,45;47,45;47,45
20906;Altzaga;29,63;29,63;29,63;29,63;29,63;72,48;27,56;27,56;27,56;27,56;28,25;28,25;27,12;26,92;26,92;26,92;26,92
20007;Altzo;35,95;35,95;35,95;35,95;35,95;35,95;35,95;35,95;35,95;36,17;35,98;35,98;44,65;44,65;44,49;44,51;44,51
20008;Amezketa;2,56;2,56;2,56;2,56;2,56;2,56;2,51;2,51;2,51;2,51;2,51;2,51;2,52;2,52;2,52;2,52;2,52
48003;Amorebieta-Etxano;3,88;3,88;3,88;3,88;3,88;3,88;3,88;3,88;3,88;3,88;3,88;3,88;3,90;3,91;3,91;3,91;3,91
48004;Amoroto;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01002;Amurrio;32,90;16,28;16,28;16,28;16,28;16,28;16,29;16,29;16,28;16,28;16,28;16,28;16,23;16,23;16,23;16,23;16,23
20009;Andoain;2,66;2,66;2,66;2,66;2,66;2,66;2,66;2,66;2,66;2,66;2,66;2,66;11,33;11,25;11,25;11,25;11,25
20010;Anoeta;26,49;26,49;26,59;26,59;26,59;10,80;10,80;10,80;10,83;10,93;10,93;10,93;10,93;10,93;10,93;10,93;10,93
20011;Antzuola;16,91;16,91;16,91;16,95;16,95;16,95;16,95;16,95;16,95;16,95;17,06;17,06;17,08;17,01;17,01;17,01;17,01
48005;Arakaldo;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20012;Arama;15,74;15,74;15,74;15,74;15,74;15,74;15,74;55,37;55,37;55,37;55,00;54,63;59,46;59,54;59,54;59,54;59,54
01003;Aramaio;28,79;28,79;28,79;28,79;28,79;28,79;28,79;28,79;28,79;23,69;23,69;30,27;32,55;32,33;32,33;32,33;32,32
48006;Arantzazu;12,18;12,18;12,18;12,18;12,18;12,18;12,18;12,18;12,18;12,20;12,20;12,20;11,37;11,37;11,37;11,37;11,37
48093;Areatza;19,86;19,86;19,86;19,86;19,86;19,86;19,86;19,86;19,86;19,86;19,86;19,86;19,90;19,90;19,90;19,90;19,90
20013;Aretxabaleta;28,63;28,63;28,63;28,63;28,63;28,63;28,63;29,00;29,00;29,00;29,10;27,76;25,76;25,67;25,67;25,67;28,76
01006;Armiñón;3,37;3,37;3,37;3,37;3,37;3,37;3,41;3,41;3,41;3,41;3,42;3,42;4,17;4,17;4,17;4,17;4,17
01037;Arraia-Maeztu;47,60;47,60;47,60;47,60;47,60;47,60;47,60;47,50;47,50;47,50;47,50;47,52;48,67;48,67;49,00;49,00;49,00
48009;Arrankudiaga;24,52;24,52;24,52;24,52;24,52;24,52;24,52;24,51;24,50;24,50;24,50;24,50;24,37;24,37;25,01;25,01;25,01
20055;Arrasate/Mondragón;21,05;21,05;21,05;21,05;21,05;21,05;21,05;6,73;6,73;6,73;1,09;1,10;1,18;1,06;1,06;1,06;1,06
48914;Arratzu;3,55;3,55;3,55;3,55;1,96;2,43;2,43;1,99;1,99;1,99;1,99;1,99;1,94;2,03;2,03;2,03;2,03
