Indicadores municipales de sostenibilidad: Superficie ocupada por parques, jardines y zonas verdes urbanas (m²/persona);;;;;;
"";;;;;;
Resumen de datos;;;;;;
48031;Elantxobe;22,73;22,68;45,66;33,56;34,09
01021;Elburgo/Burgelu;48,66;57,51;55,88;27,08;27,78
01022;Elciego;13,94;13,98;14,22;7,79;8,22
20031;Elduain;42,37;42,74;42,74;22,22;18,35
20033;Elgeta;21,74;22,03;22,53;12,80;13,04
20032;Elgoibar;14,34;13,66;13,87;10,94;11,03
48032;Elorrio;2,62;2,63;2,66;2,54;2,56
01023;Elvillar/Bilar;41,67;41,21;42,61;19,89;20,35
48902;Erandio;4,34;4,34;4,39;3,94;4,01
48033;Ereño;7,58;7,63;34,88;;
48034;Ermua;5,32;5,30;5,24;4,57;4,51
20067;Errenteria;13,99;10,73;10,82;12,55;12,58
20066;Errezil;3,24;1,61;1,61;1,60;1,63
01046;Erriberagoitia/Ribera Alta;12,12;13,68;12,89;10,87;11,36
48079;Errigoiti;152,38;156,25;153,85;98,43;59,17
20034;Eskoriatza;3,95;3,96;3,95;4,07;4,09
48029;Etxebarri;25,92;27,30;29,37;25,35;24,50
48030;Etxebarria;332,45;32,77;32,68;30,60;31,13
48906;Forua;7,98;7,98;8,17;10,54;10,36
48035;Fruiz;178,17;23,87;19,75;12,41;12,47
20038;Gabiria;16,43;17,13;18,10;18,82;19,14
20037;Gaintza;23,62;23,08;23,08;22,39;23,26
48036;Galdakao;18,22;18,13;17,59;16,88;15,80
48037;Galdames;3,55;253,24;262,52;259,04;261,88
48038;Gamiz-Fika;9,78;9,90;10,16;10,16;10,19
48039;Garai;68,54;70,06;69,62;72,61;71,19
48040;Gatika;26,32;26,71;27,30;19,31;19,80
48041;Gautegiz Arteaga;34,01;33,82;34,32;34,25;34,25
20907;Gaztelu;5,88;6,21;5,88;5,71;5,75
48046;Gernika-Lumo;13,16;12,87;11,06;9,98;8,96
20039;Getaria;62,62;63,63;64,92;66,75;67,10
48044;Getxo;6,59;6,57;6,17;6,18;6,13
48047;Gizaburuaga;20,10;20,62;22,10;22,99;22,73
48042;Gordexola;401,84;40,28;41,06;37,35;32,20
48043;Gorliz;52,81;50,62;51,62;56,68;58,25
48045;Güeñes;4,32;4,56;4,45;4,50;4,21
01056;Harana/Valle de Arana;49,50;47,92;37,62;43,08;41,67
20040;Hernani;15,54;15,59;15,70;15,55;12,76
20041;Hernialde;5,87;5,95;5,93;6,10;6,12
20036;Hondarribia;11,53;11,55;26,06;26,03;26,20
20042;Ibarra;5,57;1,86;1,88;1,89;1,65
48048;Ibarrangelu;17,94;17,89;14,80;1,69;1,71
20043;Idiazabal;18,44;18,76;19,28;17,19;17,39
48094;Igorre;20,36;18,89;19,21;6,47;6,55
20044;Ikaztegieta;21,69;21,93;22,22;20,22;20,41
20045;Irun;1,71;3,12;9,94;10,19;9,24
20046;Irura;0,64;9,37;10,03;11,27;11,64
01027;Iruraiz-Gauna;16,54;17,11;19,31;21,57;22,00
01901;Iruña Oka/Iruña de Oca;6,56;6,76;7,01;6,21;6,34
48049;Ispaster;4,50;12,14;7,59;1,60;1,61
20047;Itsasondo;39,82;40,75;42,14;43,62;44,14
48910;Iurreta;13,24;2,62;2,61;1,30;1,30
48050;Izurtza;92,25;95,06;94,70;100,81;99,60
48022;Karrantza Harana/Valle de Carranza;14,42;14,33;5,34;3,58;3,57
48907;Kortezubi;11,99;12,17;12,29;12,47;12,82
01019;Kripan;102,04;102,56;108,11;10,81;10,58
01020;Kuartango;29,15;30,12;30,12;86,83;86,11
01028;Labastida/Bastida;108,87;11,94;8,58;1,34;1,38
01030;Lagrán;16,67;15,96;15,87;15,15;15,31
01031;Laguardia;19,27;19,34;19,38;19,62;19,32
01032;Lanciego/Lantziego;42,25;43,29;43,10;14,27;14,66
48051;Lanestosa;7,09;6,78;6,71;3,31;3,33
01902;Lantarón;50,52;49,45;51,74;50,52;51,20
01033;Lapuebla de Labarca;5,75;5,67;5,44;3,40;3,58
48052;Larrabetzu;14,07;14,38;13,59;14,98;14,71
