Indicadores municipales de sostenibilidad: Superficie forestal pública (% s/ superficie forestal total);;;;;;;;;
"";;;;;;;;;
Resumen de datos;;;;;;;;;
01008;Arratzua-Ubarrundia;81,00;81,12;81,12;81,12;81,06;81,20;81,11;83,60
48010;Arrieta;17,17;17,21;18,26;18,26;17,16;17,26;16,94;18,78
48011;Arrigorriaga;39,58;39,62;41,43;42,22;42,78;42,78;42,70;46,09
48023;Artea;16,03;16,05;16,08;16,12;16,33;16,94;16,07;15,57
48008;Artzentales;73,19;73,19;72,95;73,35;73,63;73,69;73,09;71,55
01004;Artziniega;75,18;75,37;75,49;75,49;75,87;75,79;75,31;75,85
01009;Asparrena;94,92;94,98;94,98;94,98;94,95;94,95;94,95;94,35
20014;Asteasu;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20903;Astigarraga;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20
20015;Ataun;32,25;32,32;32,37;32,37;32,38;32,20;32,09;31,72
48091;Atxondo;3,20;3,21;3,55;3,55;3,57;3,57;3,52;3,71
48070;Aulesti;9,19;9,20;7,03;7,07;7,08;7,11;7,02;6,19
01010;Ayala/Aiara;37,76;37,79;38,03;38,04;38,05;37,88;37,89;37,41
20017;Azkoitia;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,00
20018;Azpeitia;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,00
01049;Añana;62,14;62,24;62,24;62,24;62,24;63,06;63,06;62,69
48012;Bakio;40,71;40,71;40,71;40,74;40,78;40,78;40,71;42,12
20904;Baliarrain;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48090;Balmaseda;78,86;78,72;78,37;78,45;78,32;78,16;78,12;74,82
48013;Barakaldo;35,72;35,72;26,70;26,70;26,58;28,08;28,04;27,71
48014;Barrika;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01013;Barrundia;79,44;81,74;81,74;81,74;81,70;81,42;81,46;81,49
48015;Basauri;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01011;Baños de Ebro/Mañueta;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20019;Beasain;0,09;0,09;0,09;0,09;0,09;0,09;0,09;0,05
48092;Bedia;15,29;15,29;15,45;15,48;15,60;15,59;14,80;2,98
20020;Beizama;25,48;24,94;24,90;24,92;24,92;24,90;24,63;24,96
20021;Belauntza;0,52;0,52;0,52;0,52;0,52;0,52;0,51;0,47
48016;Berango;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01014;Berantevilla;0,00;4,20;4,20;4,20;4,20;4,20;4,20;5,87
20022;Berastegi;60,25;60,25;60,27;60,29;60,22;60,20;59,85;59,78
20074;Bergara;1,60;1,60;1,60;1,60;1,60;1,60;1,53;0,91
48017;Bermeo;40,35;40,35;40,15;40,25;40,15;40,22;39,77;42,04
01016;Bernedo;85,08;84,34;84,34;84,34;84,34;84,25;84,25;83,80
48018;Berriatua;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48019;Berriz;19,21;19,34;19,44;19,56;20,40;20,00;20,62;15,46
20023;Berrobi;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20024;Bidania-Goiatz;6,62;6,62;6,62;6,62;6,62;6,59;6,50;4,30
48020;Bilbao;0,73;0,73;0,73;0,73;0,74;0,75;0,75;0,98
48021;Busturia;6,87;6,87;2,99;2,99;3,00;3,01;2,98;3,54
01017;Campezo/Kanpezu;91,44;91,87;91,82;91,82;91,82;91,79;91,79;91,33
20029;Deba;5,43;5,44;5,45;5,48;5,51;5,59;5,48;5,20
48901;Derio;3,86;3,86;3,85;3,85;3,96;3,94;3,94;3,22
48026;Dima;17,40;17,42;17,01;17,09;16,85;16,96;16,52;15,97
20069;Donostia / San Sebastián;9,51;9,79;9,78;9,78;9,78;9,94;9,87;6,34
48027;Durango;48,02;48,02;48,02;48,02;48,83;48,91;48,50;47,06
48028;Ea;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20030;Eibar;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,00
48031;Elantxobe;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01021;Elburgo/Burgelu;86,31;87,38;87,38;87,38;87,38;87,38;87,38;89,40
01022;Elciego;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20031;Elduain;64,17;64,17;63,97;63,97;63,97;64,73;63,96;63,15
20033;Elgeta;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20032;Elgoibar;0,42;0,42;0,42;0,42;0,43;0,43;0,41;0,34
48032;Elorrio;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01023;Elvillar/Bilar;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48902;Erandio;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48033;Ereño;20,14;20,14;21,40;21,43;21,16;21,25;21,24;20,02
48034;Ermua;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20067;Errenteria;71,01;71,95;71,95;71,91;72,24;72,40;71,86;71,11
20066;Errezil;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,00
